Name,Score,Genders,Type,Episodes,Premiered,Producers,Source,Duration per ep.,Rating
Babylon,6.81,"Mystery, Psychological, Thriller",TV,12,2019,Fuji TV,Novel,24 min,R - 17+ (violence & profanity)
Baccano!,8.42,Action,TV,13,2007,Aniplex,Light novel,24 min,R - 17+ (violence & profanity)
Back Street Girls: Gokudolls,6.93,Comedy,TV,10,2018,Kodansha,Manga,24 min,R - 17+ (violence & profanity)
Baka to Test to Shoukanjuu,7.6,Romance,TV,13,2010,Lantis,Light novel,24 min,PG-13 - Teens 13 or older
Baka to Test to Shoukanjuu Ni!,7.76,Romance,TV,13,2011,Lantis,Light novel,24 min,PG-13 - Teens 13 or older
Bakegyamon,6.68,Action,TV,51,2006,TV Tokyo,Manga,25 min,PG - Children
Bakemonogatari,8.36,"Romance, Supernatural, Mystery, Vampire",TV,15,2009,Aniplex,Light novel,24 min,R - 17+ (violence & profanity)
Bakugan Battle Brawlers,6.32,Action,TV,52,2007,Nelvana,Original,24 min,PG - Children
Bakugan Battle Brawlers: Gundalian Invaders,6.21,Action,TV,39,2010,Sanrio,Original,24 min,G - All Ages
Bakugan Battle Brawlers: New Vestroia,6.41,"Game, Adventure, Fantasy, Shounen",TV,52,2009,Nelvana,Original,24 min,PG - Children
Bakugan: Battle Planet,5.57,Action,TV,50,2019,Nelvana,Original,24 min,PG - Children
Bakuman.,8.23,Drama,TV,25,2010,NHK,Manga,24 min,PG-13 - Teens 13 or older
Bakuman. 2nd Season,8.4,Drama,TV,25,2011,NHK,Manga,24 min,PG-13 - Teens 13 or older
Bakuman. 3rd Season,8.58,Drama,TV,25,2012,NHK,Manga,24 min,PG-13 - Teens 13 or older
Bakumatsu,5.77,Action,TV,12,2018,TBS,Game,24 min,PG-13 - Teens 13 or older
Bakumatsu Gijinden Roman,6.16,"Historical, Fantasy",TV,12,2013,Sotsu,Other,23 min,PG-13 - Teens 13 or older
Bakumatsu Rock,6.05,Action,TV,12,2014,Nihon Ad Systems,Game,23 min,PG-13 - Teens 13 or older
Bakumatsu: Crisis,5.7,Action,TV,12,2019,TBS,Game,24 min,PG-13 - Teens 13 or older
Bakuon!!,6.48,Seinen,TV,12,2016,Lantis,Manga,23 min,PG-13 - Teens 13 or older
Bakuretsu Hunters,6.71,Adventure,TV,26,1995,Sotsu,Manga,25 min,R - 17+ (violence & profanity)
Bakuretsu Tenshi,6.81,Adventure,TV,24,2004,GDH,Original,23 min,PG-13 - Teens 13 or older
Bakuten Shoot Beyblade,6.73,Action,TV,51,2001,d-rights,Manga,23 min,PG - Children
Bakuten Shoot Beyblade 2002,6.68,Action,TV,51,2002,d-rights,Manga,21 min,PG - Children
Bakuten Shoot Beyblade G Revolution,6.93,Action,TV,52,2003,d-rights,Manga,20 min,PG - Children
Bakutou Sengen Daigunder,6.67,"Sci-Fi, Adventure, Mecha",TV,39,2002,TV Tokyo,Original,21 min,PG - Children
Ballroom e Youkoso,8.21,Comedy,TV,24,2017,Dentsu,Manga,24 min,PG-13 - Teens 13 or older
Bamboo Blade,7.34,Comedy,TV,26,2007,Sotsu,Manga,24 min,PG-13 - Teens 13 or older
Banana Fish,8.45,Action,TV,24,2018,Aniplex,Manga,22 min,R - 17+ (violence & profanity)
Bananya,6.72,"Slice of Life, Comedy, Kids",TV,13,2016,TMS Entertainment,Original,3 min,G - All Ages
BanG Dream!,6.96,Music,TV,13,2017,OB Planning,Original,24 min,PG-13 - Teens 13 or older
BanG Dream! 2nd Season,7.59,Music,TV,13,2019,TV Tokyo,Original,24 min,PG-13 - Teens 13 or older
BanG Dream! 3rd Season,8.05,Music,TV,13,2020,TV Tokyo,Other,23 min,PG-13 - Teens 13 or older
BanG Dream! Garupa☆Pico: Oomori,7.63,"Music, Comedy",TV,26,2020,Cloud22,Manga,3 min,PG-13 - Teens 13 or older
Bannou Bunka Neko-Musume (1998),6.53,Action,TV,12,1998,Movic,Original,23 min,PG-13 - Teens 13 or older
BAR Kiraware Yasai,5.07,Comedy,TV,13,2015,AIC,4-koma manga,1 min,G - All Ages
Barakamon,8.41,Comedy,TV,12,2014,VAP,Web manga,22 min,PG-13 - Teens 13 or older
